"Infrastructure
ID",WBS,Category,Subcategory,Project Name,Identified Project funding,Project Description,Project Priority,Project Cost Estimate,Funding Status (%),Funding Phase,Funding Needed,Quadrant(s),NE Quadrant,NW Quadrant,SE Quadrant,SW Quadrant,Quadrant Factor,Quadrant Funding Estimated,CD,CD 1,CD 2,CD 3,CD 4,CD 5,CD 6,CD 7,CD 8,CD 9,CD 10,CD 11,CD 12,CW,CD Funding Factor,CD Funding Estimated,NPU 1,NPU 2,NPU 3,NPU 4,NPU 5,Neighborhood 1,Neighborhood 2,Neighborhood 3,Neighborhood 4,Neighborhood 5,Neighborhood 6,Neighborhood 7,Neighborhood 8,Neighborhood 9,Neighborhood 10,Neighborhood 11,Corridor 1,Corridor 2,Corridor 3,Secondary Corridor 1,Secondary Corridor 2,Secondary Corridor 3,Regional Employment Center,Priority and Sub Cat,"Bond Tranche/
Funding Tier"
,1.3.2,Roadway,Roadway Construction,Ayr Street,,Roadway construction on unpaved street from Alloway Place to Underwood Avenue.,Medium,"$180,000",0%,,"$180,000",SE,,,SE,,1.000,"$180,000",1,1,,,,,,,,,,,,,1.000,"$180,000",W,,,,,Ormewood Park,,,,,,,,,,,,,,,,,,Medium Roadway Construction,6
,1.3.2,Roadway,Roadway Construction,Naomi Avenue,,Roadway construction on unpaved street from Ormewood Avenue to end of roadway.,Medium,"$360,000",0%,,"$360,000",SE,,,SE,,1.000,"$360,000",1,1,,,,,,,,,,,,,1.000,"$360,000",W,,,,,Ormewood Park,,,,,,,,,,,,,,,,,,Medium Roadway Construction,6
,1.3.2,Roadway,Roadway Construction,Pear Street ,,Roadway construction on unpaved street from Grape Street to Martin Street.,Medium,"$200,000",0%,,"$200,000",SE,,,SE,,1.000,"$200,000",1,1,,,,,,,,,,,,,1.000,"$200,000",Y,,,,,South Atlanta,,,,,,,,,,,,,,,,,,Medium Roadway Construction,7
,1.3.2,Roadway,Roadway Construction,Burns Street,,Roadway construction on unpaved street from Woodland Avenue to Gilbert Street.,Low,"$300,000",0%,,"$300,000",SE,,,SE,,1.000,"$300,000",1,1,,,,,,,,,,,,,1.000,"$300,000",W,,,,,Ormewood Park,,,,,,,,,,,,,,,,,,Low Roadway Construction,8
,1.3.2,Roadway,Roadway Construction,Evans Street,,Roadway construction on unpaved street from Walker Avenue to dead end.,Low,"$460,000",0%,,"$460,000",SE,,,SE,,1.000,"$460,000",1,1,,,,,,,,,,,,,1.000,"$460,000",W,,,,,Ormewood Park,,,,,,,,,,,,,,,,,,Low Roadway Construction,8
,1.3.2,Roadway,Roadway Construction,Lyndale Drive,,Roadway construction on unpaved street from Woodland Avenue to Moreland Avenue.,Low,"$600,000",0%,,"$600,000",SE,,,SE,,1.000,"$600,000",1,1,,,,,,,,,,,,,1.000,"$600,000",W,,,,,Ormewood Park,,,,,,,,,,,,,,,,,,Low Roadway Construction,8
,1.3.2,Roadway,Roadway Construction,Martin Avenue,,Roadway construction on unpaved street from Jonesboro Road to McDonough Boulevard.,Low,"$360,000",0%,,"$360,000",SE,,,SE,,1.000,"$360,000",1,1,,,,,,,,,,,,,1.000,"$360,000",Y,,,,,South Atlanta,,,,,,,,,,,,,,,,,,Low Roadway Construction,8
,1.3.2,Roadway,Roadway Construction,Meador Avenue,,Roadway construction on unpaved street from Schell Road to Swan Drive.,Low,"$360,000",0%,,"$360,000",SE,,,SE,,1.000,"$360,000",1,1,,,,,,,,,,,,,1.000,"$360,000",Z,,,,,Lakewood,Swallow Circle/Baywood,,,,,,,,,,,,,,,,,Low Roadway Construction,8
,1.3.2,Roadway,Roadway Construction,Olive Street,,Roadway construction on unpaved street from Adair Avenue north to dead end.,Low,"$110,000",0%,,"$110,000",SE,,,SE,,1.000,"$110,000",1,1,,,,,,,,,,,,,1.000,"$110,000",Y,,,,,Lakewood Heights,,,,,,,,,,,,,,,,,,Low Roadway Construction,8
,1.3.2,Roadway,Roadway Construction,Swan Drive ,,Roadway construction on unpaved street from Rhinehill Road to dead end.,Low,"$100,000",0%,,"$100,000",SE,,,SE,,1.000,"$100,000",1,1,,,,,,,,,,,,,1.000,"$100,000",Z,,,,,Lakewood,,,,,,,,,,,,,,,,,,Low Roadway Construction,8
,1.3.2,Roadway,Roadway Construction,3rd Street,,Roadway construction on unpaved street from Grand Avenue  to First Avenue.,Medium,"$280,000",0%,,"$280,000",SW,,,,SW,1.000,"$280,000",12,,,,,,,,,,,,12,,1.000,"$280,000",X,,,,,Hammond Park,,,,,,,,,,,,,,,,,,Medium Roadway Construction,6
,1.3.2,Roadway,Roadway Construction,Beatie Avenue,,Roadway construction on unpaved street from Dill Avenue to Erin Avenue.,Medium,"$280,000",0%,,"$280,000",SW,,,,SW,1.000,"$280,000",12,,,,,,,,,,,,12,,1.000,"$280,000",X,,,,,Capitol View,,,,,,,,,,,,,,,,,,Medium Roadway Construction,6
,1.3.2,Roadway,Roadway Construction,Cleveland Circle,,Roadway construction on unpaved street from Beeler Drive to Connell Avenue.,Medium,"$1,100,000",0%,,"$1,100,000",SW,,,,SW,1.000,"$1,100,000",12,,,,,,,,,,,,12,,1.000,"$1,100,000",X,,,,,Perkerson,,,,,,,,,,,,,,,,,,Medium Roadway Construction,6
,1.3.2,Roadway,Roadway Construction,Harden Road,,Roadway construction on unpaved street from Casplan Street to dead end.,Medium,"$570,000",0%,,"$570,000",SW,,,,SW,1.000,"$570,000",12,,,,,,,,,,,,12,,1.000,"$570,000",X,,,,,Sylvan Hills,,,,,,,,,,,,,,,,,,Medium Roadway Construction,6
,1.3.2,Roadway,Roadway Construction,Saint Johns Circle,,Roadway construction on unpaved street from Saint John Avenue northwest to dead end.,Medium,"$270,000",0%,,"$270,000",SW,,,,SW,1.000,"$270,000",12,,,,,,,,,,,,12,,1.000,"$270,000",Y,,,,,Lakewood Heights,,,,,,,,,,,,,,,,,,Medium Roadway Construction,6
,1.3.2,Roadway,Roadway Construction,Sparta Street,,Roadway construction on unpaved street from Avon Avenue to Hartford Place.,Medium,"$220,000",0%,,"$220,000",SW,,,,SW,1.000,"$220,000",12,,,,,,,,,,,,12,,1.000,"$220,000",X,,,,,Capitol View,,,,,,,,,,,,,,,,,,Medium Roadway Construction,6
,1.3.2,Roadway,Roadway Construction,Wallace Drive,,Roadway construction on unpaved street from Latona Drive to dead end.,Medium,"$210,000",0%,,"$210,000",SW,,,,SW,1.000,"$210,000",12,,,,,,,,,,,,12,,1.000,"$210,000",Z,,,,,Glenrose Heights,,,,,,,,,,,,,,,,,,Medium Roadway Construction,6
,1.3.2,Roadway,Roadway Construction,6th Street ,,Roadway construction on unpaved street from First Avenue to Forrest Hill Drive.,Low,"$160,000",0%,,"$160,000",SW,,,,SW,1.000,"$160,000",12,,,,,,,,,,,,12,,1.000,"$160,000",X,,,,,Hammond Park,,,,,,,,,,,,,,,,,,Low Roadway Construction,8
,1.3.2,Roadway,Roadway Construction,Allen Lane ,,Roadway construction on unpaved street from Holly Drive to Springside Drive,Low,"$320,000",0%,,"$320,000",SE,,,SE,,1.000,"$320,000",12,,,,,,,,,,,,12,,1.000,"$320,000",Z,,,,,Orchard Knob,,,,,,,,,,,,,,,,,,Low Roadway Construction,8
,1.3.2,Roadway,Roadway Construction,Bicknell Street,,Roadway construction on unpaved street from Polar Rock Road to Lakewood Avenue.,Low,"$360,000",0%,,"$360,000",SE,,,SE,,1.000,"$360,000",12,,,,,,,,,,,,12,,1.000,"$360,000",Z,,,,,Polar Rock,,,,,,,,,,,,,,,,,,Low Roadway Construction,8
,1.3.2,Roadway,Roadway Construction,Hendon Road ,,Roadway construction on unpaved street from Forrest Park Road to Pine Forest Drive.,Low,"$300,000",0%,,"$300,000",SE,,,SE,,1.000,"$300,000",12,,,,,,,,,,,,12,,1.000,"$300,000",Z,,,,,South River Gardens,,,,,,,,,,,,,,,,,,Low Roadway Construction,8
,1.3.2,Roadway,Roadway Construction,Moody Drive ,,Roadway construction on unpaved street from Reynolds Drive  to dead end.,Low,"$710,000",0%,,"$710,000",SW,,,,SW,1.000,"$710,000",12,,,,,,,,,,,,12,,1.000,"$710,000",Y,,,,,Lakewood Heights,,,,,,,,,,,,,,,,,,Low Roadway Construction,8
,1.3.2,Roadway,Roadway Construction,Orchard Lane,,Roadway construction on unpaved street from School Drive to dead end.,Low,"$500,000",0%,,"$500,000",SE,,,SE,,1.000,"$500,000",12,,,,,,,,,,,,12,,1.000,"$500,000",Z,,,,,Orchard Knob,,,,,,,,,,,,,,,,,,Low Roadway Construction,8
,1.3.2,Roadway,Roadway Construction,Springside Drive,,Roadway construction on unpaved street from Waters Road to Macon Drive.,Low,"$730,000",0%,,"$730,000",SE,,,SE,,1.000,"$730,000",12,,,,,,,,,,,,12,,1.000,"$730,000",Z,,,,,Glenrose Heights,,,,,,,,,,,,,,,,,,Low Roadway Construction,8
,1.3.2,Roadway,Roadway Construction,Springside Terrace,,Roadway construction on unpaved street from Springside Drive to dead end.,Low,"$500,000",0%,,"$500,000",SE,,,SE,,1.000,"$500,000",12,,,,,,,,,,,,12,,1.000,"$500,000",Z,,,,,Glenrose Heights,,,,,,,,,,,,,,,,,,Low Roadway Construction,8
,1.3.2,Roadway,Roadway Construction,Ewing Street,,Roadway construction on unpaved street from Roswell Street to dead end.,High,"$640,000",0%,,"$640,000",SW,,,,SW,1.000,"$640,000",11,,,,,,,,,,,11,,,1.000,"$640,000",P,,,,,Fairburn,,,,,,,,,,,,,,,,,,High Roadway Construction,3
,1.3.2,Roadway,Roadway Construction,Roswell Street,,Roadway construction on unpaved street from Butler Road to dead end.,High,"$500,000",0%,,"$500,000",SW,,,,SW,1.000,"$500,000",11,,,,,,,,,,,11,,,1.000,"$500,000",P,,,,,Fairburn,,,,,,,,,,,,,,,,,,High Roadway Construction,3
,1.3.2,Roadway,Roadway Construction,Blanton Avenue,,Roadway construction on unpaved street from Butner Road to Palmetta Street.,Medium,"$420,000",0%,,"$420,000",SW,,,,SW,1.000,"$420,000",11,,,,,,,,,,,11,,,1.000,"$420,000",P,,,,,Fairburn,,,,,,,,,,,,,,,,,,Medium Roadway Construction,6
,1.3.2,Roadway,Roadway Construction,Carolyn Street,,Roadway construction on unpaved street from Wallace Avenue to dead end.,Medium,"$310,000",0%,,"$310,000",SW,,,,SW,1.000,"$310,000",11,,,,,,,,,,,11,,,1.000,"$310,000",P,,,,,Fairburn,,,,,,,,,,,,,,,,,,Medium Roadway Construction,7
,1.3.2,Roadway,Roadway Construction,Lake Avenue,,Roadway construction on unpaved street from Stanton Road to dead end.,Medium,"$310,000",0%,,"$310,000",SW,,,,SW,1.000,"$310,000",11,,,,,,,,,,,11,,,1.000,"$310,000",R,,,,,Undesignated,,,,,,,,,,,,,,,,,,Medium Roadway Construction,7
,1.3.2,Roadway,Roadway Construction,Mayo Place ,,Roadway construction on unpaved street from Mount Gilead Road to dead end.,Medium,"$570,000",0%,,"$570,000",SW,,,,SW,1.000,"$570,000",11,,,,,,,,,,,11,,,1.000,"$570,000",R,,,,,Southwest,,,,,,,,,,,,,,,,,,Medium Roadway Construction,7
,1.3.2,Roadway,Roadway Construction,Mount Gilead Place ,,Roadway construction on unpaved street from Pine Meadows Lane to dead end.,Medium,"$610,000",0%,,"$610,000",SW,,,,SW,1.000,"$610,000",11,,,,,,,,,,,11,,,1.000,"$610,000",R,,,,,Southwest,,,,,,,,,,,,,,,,,,Medium Roadway Construction,7
,1.3.2,Roadway,Roadway Construction,Wallace Avenue,,Roadway construction on unpaved street from Niskey Lake Road to dead end.,Medium,"$250,000",0%,,"$250,000",SW,,,,SW,1.000,"$250,000",11,,,,,,,,,,,11,,,1.000,"$250,000",P,,,,,Fairburn,,,,,,,,,,,,,,,,,,Medium Roadway Construction,7
,1.3.2,Roadway,Roadway Construction,Nathan Road,,Roadway construction on unpaved street from Brownlee Place to dead end.,High,"$910,000",0%,,"$910,000",SW,,,,SW,1.000,"$910,000",10,,,,,,,,,,10,,,,1.000,"$910,000",H,,,,,Adamsville,,,,,,,,,,,,,,,,,,High Roadway Construction,3
,1.3.2,Roadway,Roadway Construction,Brownlee Road,,Roadway construction on unpaved street from Boulder Park Drive to dead end.,Low,"$430,000",0%,,"$430,000",SW,,,,SW,1.000,"$430,000",10,,,,,,,,,,10,,,,1.000,"$430,000",H,,,,,Mays,,,,,,,,,,,,,,,,,,Low Roadway Construction,8
,1.3.2,Roadway,Roadway Construction,English Circle ,,Roadway construction on unpaved street from English Drive to dead end.,Low,"$620,000",0%,,"$620,000",SW,,,,SW,1.000,"$620,000",10,,,,,,,,,,10,,,,1.000,"$620,000",H,,,,,Fairburn Mays,,,,,,,,,,,,,,,,,,Low Roadway Construction,8
,1.3.2,Roadway,Roadway Construction,English Drive ,,Roadway construction on unpaved street from Boulder Park Drive to dead end.,Low,"$700,000",0%,,"$700,000",SW,,,,SW,1.000,"$700,000",10,,,,,,,,,,10,,,,1.000,"$700,000",H,,,,,Fairburn Mays,,,,,,,,,,,,,,,,,,Low Roadway Construction,8
,1.3.2,Roadway,Roadway Construction,Lawrence Drive,,Roadway construction on unpaved street from Brownlee Road to dead end.,Low,"$430,000",0%,,"$430,000",SW,,,,SW,1.000,"$430,000",10,,,,,,,,,,10,,,,1.000,"$430,000",H,,,,,Adamsville,,,,,,,,,,,,,,,,,,Low Roadway Construction,8
,1.3.2,Roadway,Roadway Construction,Wilson Avenue,,"Roadway construction on unpaved street from Martin L. King, Jr Drive north to dead end.",Low,"$180,000",0%,,"$180,000",NW,,NW,,,1.000,"$180,000",10,,,,,,,,,,10,,,,1.000,"$180,000",I,,,,,Florida Heights,,,,,,,,,,,,,,,,,,Low Roadway Construction,8
,1.3.2,Roadway,Roadway Construction,3rd Street,,Roadway construction on unpaved street from Saint James Avenue north to dead end.,Medium,"$140,000",0%,,"$140,000",NW,,NW,,,1.000,"$140,000",9,,,,,,,,,9,,,,,1.000,"$140,000",G,,,,,Carey Park,,,,,,,,,,,,,,,,,,Medium Roadway Construction,6
,1.3.2,Roadway,Roadway Construction,6th Street,,Roadway construction on unpaved street from Saint Joseph Avenue to Watkins Street.,Medium,"$270,000",0%,,"$270,000",NW,,NW,,,1.000,"$270,000",9,,,,,,,,,9,,,,,1.000,"$270,000",G,,,,,Carey Park,,,,,,,,,,,,,,,,,,Medium Roadway Construction,8
,1.3.2,Roadway,Roadway Construction,Earnest Street,,Roadway construction on unpaved street from Huff Road to dead end.,Medium,"$100,000",0%,,"$100,000",NW,,NW,,,1.000,"$100,000",9,,,,,,,,,9,,,,,1.000,"$100,000",D,,,,,Blandtown,,,,,,,,,,,,,,,,,,Medium Roadway Construction,7
,1.3.2,Roadway,Roadway Construction,First Street,,Roadway construction on unpaved street from Saint James Avenue to Spring Street.,Medium,"$660,000",0%,,"$660,000",NW,,NW,,,1.000,"$660,000",9,,,,,,,,,9,,,,,1.000,"$660,000",G,,,,,Almond Park,Carey Park,,,,,,,,,,,,,,,,,Medium Roadway Construction,6
,1.3.2,Roadway,Roadway Construction,Mack Drive,,Roadway construction on unpaved street from Gun Club Drive to dead end.,Medium,"$600,000",0%,,"$600,000",NW,,NW,,,1.000,"$600,000",9,,,,,,,,,9,,,,,1.000,"$600,000",G,,,,,Almond Park,,,,,,,,,,,,,,,,,,Medium Roadway Construction,7
,1.3.2,Roadway,Roadway Construction,Moore Street,,Roadway construction on unpaved street from Perry Boulevard north to dead end.,Medium,"$360,000",0%,,"$360,000",NW,,NW,,,1.000,"$360,000",9,,,,,,,,,9,,,,,1.000,"$360,000",G,,,,,Scott's Crossing,,,,,,,,,,,,,,,,,,Medium Roadway Construction,7
,1.3.2,Roadway,Roadway Construction,Moore Street,,Roadway construction on unpaved street from Perry Boulevard to Main Street.,Medium,"$300,000",0%,,"$300,000",NW,,NW,,,1.000,"$300,000",9,,,,,,,,,9,,,,,1.000,"$300,000",G,,,,,Scott's Crossing,,,,,,,,,,,,,,,,,,Medium Roadway Construction,8
,1.3.2,Roadway,Roadway Construction,Stevens Street (Grover Avenue),,Roadway construction on unpaved street from Mary George Avenue to dead end.,Medium,"$300,000",0%,,"$300,000",NW,,NW,,,1.000,"$300,000",9,,,,,,,,,9,,,,,1.000,"$300,000",G,,,,,Scott's Crossing,,,,,,,,,,,,,,,,,,Medium Roadway Construction,8
,1.3.2,Roadway,Roadway Construction,Alvin Drive ,,Roadway construction on unpaved street from Gun Club Drive to dead end.,Low,"$140,000",0%,,"$140,000",NW,,NW,,,1.000,"$140,000",9,,,,,,,,,9,,,,,1.000,"$140,000",G,,,,,Almond Park,,,,,,,,,,,,,,,,,,Low Roadway Construction,8
,1.3.2,Roadway,Roadway Construction,Anne Street,,Roadway construction on unpaved street from Dunseath Avenue to dead end.,Low,"$430,000",0%,,"$430,000",NW,,NW,,,1.000,"$430,000",9,,,,,,,,,9,,,,,1.000,"$430,000",D,,,,,Bolton,,,,,,,,,,,,,,,,,,Low Roadway Construction,8
,1.3.2,Roadway,Roadway Construction,Cook Street,,Roadway construction on unpaved street from Main Street north to dead end.,Low,"$280,000",0%,,"$280,000",NW,,NW,,,1.000,"$280,000",9,,,,,,,,,9,,,,,1.000,"$280,000",D,,,,,Riverside,,,,,,,,,,,,,,,,,,Low Roadway Construction,8
,1.3.2,Roadway,Roadway Construction,Dorchester Avenue,,Roadway construction on unpaved street from Carroll Drive to end of roadway.,Low,"$240,000",0%,,"$240,000",NW,,NW,,,1.000,"$240,000",9,,,,,,,,,9,,,,,1.000,"$240,000",D,,,,,Hills Park,,,,,,,,,,,,,,,,,,Low Roadway Construction,8
,1.3.2,Roadway,Roadway Construction,Hooper Street,,Roadway construction on unpaved street from Marietta Road to dead end.,Low,"$520,000",0%,,"$520,000",NW,,NW,,,1.000,"$520,000",9,,,,,,,,,9,,,,,1.000,"$520,000",D,,,,,Bolton,,,,,,,,,,,,,,,,,,Low Roadway Construction,8
,1.3.2,Roadway,Roadway Construction,Jones Road,,Roadway construction on unpaved street from Donald l Hollowell Parkway to Skipper Drive.,Low,"$1,300,000",0%,,"$1,300,000",NW,,NW,,,1.000,"$1,300,000",9,,,,,,,,,9,,,,,1.000,"$1,300,000",I,,,,,Collier Heights,,,,,,,,,,,,,,,,,,Low Roadway Construction,8
,1.3.2,Roadway,Roadway Construction,Maco Street,,Roadway construction on unpaved street from Whittier Street to dead end.,Low,"$170,000",0%,,"$170,000",NW,,NW,,,1.000,"$170,000",9,,,,,,,,,9,,,,,1.000,"$170,000",D,,,,,Whittier Mill Village,,,,,,,,,,,,,,,,,,Low Roadway Construction,8
,1.3.2,Roadway,Roadway Construction,North Ashby Street,,Roadway construction on unpaved street from Huff Road to Earnest Street.,Low,"$110,000",0%,,"$110,000",NW,,NW,,,1.000,"$110,000",9,,,,,,,,,9,,,,,1.000,"$110,000",D,,,,,Blandtown,,,,,,,,,,,,,,,,,,Low Roadway Construction,8
,1.3.2,Roadway,Roadway Construction,Pete Street,,Roadway construction on unpaved street from Rey Street to dead end.,Low,"$180,000",0%,,"$180,000",NW,,NW,,,1.000,"$180,000",9,,,,,,,,,9,,,,,1.000,"$180,000",G,,,,,Bolton Hills,,,,,,,,,,,,,,,,,,Low Roadway Construction,8
,1.3.2,Roadway,Roadway Construction,Sarah Street,,Roadway construction on unpaved street from South Eugenia Place to Alta Place.,Low,"$340,000",0%,,"$340,000",NW,,NW,,,1.000,"$340,000",9,,,,,,,,,9,,,,,1.000,"$340,000",J,,,,,Grove Park,,,,,,,,,,,,,,,,,,Low Roadway Construction,8
,1.3.2,Roadway,Roadway Construction,Thomas Street,,Roadway construction on unpaved street from Mary George Avenue to dead end.,Low,"$100,000",0%,,"$100,000",NW,,NW,,,1.000,"$100,000",9,,,,,,,,,9,,,,,1.000,"$100,000",G,,,,,,,,,,,,,,,,,,,,,,,Low Roadway Construction,8
,1.3.2,Roadway,Roadway Construction,Flynn Street,,Roadway construction on unpaved street from 14th Street to Ethel Street.,Medium,"$400,000",0%,,"$400,000",NW,,NW,,,1.000,"$400,000",9,,,,,,,,9,,,,,,1.000,"$400,000",E,,,,,Home Park,,,,,,,,,,,,,,,,,,Medium Roadway Construction,6
,1.3.2,Roadway,Roadway Construction,Hirsch Street,,Roadway construction on unpaved street from Richard Street to Ethel Street.,Medium,"$200,000",0%,,"$200,000",NW,,NW,,,1.000,"$200,000",9,,,,,,,,9,,,,,,1.000,"$200,000",E,,,,,Home Park,,,,,,,,,,,,,,,,,,Medium Roadway Construction,6
,1.3.2,Roadway,Roadway Construction,Plymstock Lane ,,Roadway construction on unpaved street from West Wesley Road to Nancy Creek Road.,Medium,"$650,000",0%,,"$650,000",NW,,NW,,,1.000,"$650,000",9,,,,,,,,9,,,,,,1.000,"$650,000",A,,,,,Paces,,,,,,,,,,,,,,,,,,Medium Roadway Construction,6
,1.3.2,Roadway,Roadway Construction,15th Street,,Roadway construction on unpaved street from Atlantic Drive to State Street.,Low,"$210,000",0%,,"$210,000",NW,,NW,,,1.000,"$210,000",9,,,,,,,,9,,,,,,1.000,"$210,000",E,,,,,Home Park,,,,,,,,,,,,,,,,,,Low Roadway Construction,8
,1.3.2,Roadway,Roadway Construction,Lee Circle ,,Roadway construction on unpaved street from Roxboro Drive to Towerview Drive.,High,"$670,000",0%,,"$670,000",NE,NE,,,,1.000,"$670,000","7, 9",,,,,,,7,9,,,,,,1.000,"$670,000",B,,,,,Pine Hills,,,,,,,,,,,,,,,,,,High Roadway Construction,3
,1.3.2,Roadway,Roadway Construction,Old Decatur Road,,Roadway construction on unpaved street from North Hills Drive north to dead end.,Low,"$100,000",0%,,"$100,000",NE,NE,,,,1.000,"$100,000","7, 9",,,,,,,7,9,,,,,,1.000,"$100,000",B,,,,,Garden Hills,,,,,,,,,,,,,,,,,,Low Roadway Construction,8
,1.3.2,Roadway,Roadway Construction,Westminster Drive,,Roadway construction on unpaved street from Monroe Drive to dead end.,Medium,"$370,000",0%,,"$370,000",NE,NE,,,,1.000,"$370,000","6, 9",,,,,,6,,9,,,,,,1.000,"$370,000",F,,,,,Morningside/Lenox Park,,,,,,,,,,,,,,,,,,Medium Roadway Construction,6
,1.3.2,Roadway,Roadway Construction,Lanier Place ,,Roadway construction on unpaved street from Courtney Drive to dead end.,Low,"$100,000",0%,,"$100,000",NE,NE,,,,1.000,"$100,000","6, 9",,,,,,6,,9,,,,,,1.000,"$100,000",F,,,,,Morningside/Lenox Park,,,,,,,,,,,,,,,,,,Low Roadway Construction,8
,1.3.2,Roadway,Roadway Construction,2nd Street,,Roadway construction on unpaved street from Mayson Avenue to Wesley Avenue.,Medium,"$360,000",0%,,"$360,000",NE,NE,,,,1.000,"$360,000","5, 9",,,,,5,,,9,,,,,,1.000,"$360,000",O,,,,,Edgewood,,,,,,,,,,,,,,,,,,Medium Roadway Construction,6
,1.3.2,Roadway,Roadway Construction,Braeburn Drive,,Roadway construction on unpaved street from East Side Avenue to Pasley Avenue.,Medium,"$570,000",0%,,"$570,000",SE,,,SE,,1.000,"$570,000","5, 9",,,,,5,,,9,,,,,,1.000,"$570,000",W,,,,,East Atlanta,,,,,,,,,,,,,,,,,,Medium Roadway Construction,6
,1.3.2,Roadway,Roadway Construction,George Street,,Roadway construction on unpaved street from Memorial Drive to Biggers Street.,Medium,"$300,000",0%,,"$300,000",SE,,,SE,,1.000,"$300,000","5, 9",,,,,5,,,9,,,,,,1.000,"$300,000",W,,,,,Grant Park,,,,,,,,,,,,,,,,,,Medium Roadway Construction,6
,1.3.2,Roadway,Roadway Construction,Mollie Street,,Roadway construction on unpaved street from Estoria Street to dead end.,Medium,"$220,000",0%,,"$220,000",SE,,,SE,,1.000,"$220,000","5, 9",,,,,5,,,9,,,,,,1.000,"$220,000",N,,,,,Cabbagetown,,,,,,,,,,,,,,,,,,Medium Roadway Construction,6
,1.3.2,Roadway,Roadway Construction,Narrow Street,,Roadway construction on unpaved street from Berean Avenue to Cameron Street.,Medium,"$300,000",0%,,"$300,000",SE,,,SE,,1.000,"$300,000","5, 9",,,,,5,,,9,,,,,,1.000,"$300,000",W,,,,,Grant Park,,,,,,,,,,,,,,,,,,Medium Roadway Construction,6
,1.3.2,Roadway,Roadway Construction,Northern Avenue,,Roadway construction on unpaved street from Stovall Street to Holtzclaw Street.,Medium,"$360,000",0%,,"$360,000",SE,,,SE,,1.000,"$360,000","5, 9",,,,,5,,,9,,,,,,1.000,"$360,000",N,,,,,Reynoldstown,,,,,,,,,,,,,,,,,,Medium Roadway Construction,6
,1.3.2,Roadway,Roadway Construction,Weatherby Street,,Roadway construction on unpaved street from Wylie Street to Boulevard  Drive.,Medium,"$360,000",0%,,"$360,000",SE,,,SE,,1.000,"$360,000","5, 9",,,,,5,,,9,,,,,,1.000,"$360,000",N,,,,,Reynoldstown,,,,,,,,,,,,,,,,,,Medium Roadway Construction,6
,1.3.2,Roadway,Roadway Construction,Carter Avenue,,Roadway construction on unpaved street from Glenwood Avenue to dead end.,Low,"$140,000",0%,,"$140,000",SE,,,SE,,1.000,"$140,000","5, 9",,,,,5,,,9,,,,,,1.000,"$140,000",O,,,,,East Lake,,,,,,,,,,,,,,,,,,Low Roadway Construction,8
,1.3.2,Roadway,Roadway Construction,Vannoy Street,,Roadway construction on unpaved street from Memorial Drive to Arkwright Place.,Low,"$250,000",0%,,"$250,000",SE,,,SE,,1.000,"$250,000","5, 9",,,,,5,,,9,,,,,,1.000,"$250,000",O,,,,,Edgewood,,,,,,,,,,,,,,,,,,Low Roadway Construction,8
,1.3.2,Roadway,Roadway Construction,Brewster Street,,Roadway construction on unpaved street from Campbellton Road to Oakland Lane.,High,"$410,000",0%,,"$410,000",SW,,,,SW,1.000,"$410,000","4, 9",,,,4,,,,9,,,,,,1.000,"$410,000",S,,,,,Oakland City,,,,,,,,,,,,,,,,,,High Roadway Construction,3
,1.3.2,Roadway,Roadway Construction,Dover's Alley,,Roadway construction on unpaved street from Bridges Avenue to Plaza Avenue.,Low,"$400,000",0%,,"$400,000",SW,,,,SW,1.000,"$400,000","4, 9",,,,4,,,,9,,,,,,1.000,"$400,000",S,,,,,Bush Mountain,,,,,,,,,,,,,,,,,,Low Roadway Construction,8
,1.3.2,Roadway,Roadway Construction,Baylor Street ,,Roadway construction on unpaved street from Longley Avenue to Herndon Street.,Medium,"$220,000",0%,,"$220,000",NW,,NW,,,1.000,"$220,000",3,,,3,,,,,,,,,,,1.000,"$220,000",K,,,,,Knight Park/Howell Station,,,,,,,,,,,,,,,,,,Medium Roadway Construction,6
,1.3.2,Roadway,Roadway Construction,Marktwo Place ,,Roadway construction on unpaved street from Markone Street to North Avenue.,Medium,"$250,000",0%,,"$250,000",NW,,NW,,,1.000,"$250,000",3,,,3,,,,,,,,,,,1.000,"$250,000",J,,,,,Grove Park,,,,,,,,,,,,,,,,,,Medium Roadway Construction,6
